target position:   -9.00,   2.25
swimmer initial position:  -12.00,  -2.25,   0.00
  -7.89,  -0.72,  -0.31, time =   49.55
  -7.87,  -0.76,  -0.24, time =   49.65
  -7.84,  -0.79,  -0.16, time =   49.75
  -7.82,  -0.80,  -0.09, time =   49.85
  -7.79,  -0.80,  -0.04, time =   49.95
  -7.76,  -0.78,   0.00, time =   50.05
  -7.74,  -0.75,   0.04, time =   50.15
  -7.72,  -0.71,   0.06, time =   50.25
  -7.71,  -0.65,   0.08, time =   50.35
  -7.70,  -0.60,   0.10, time =   50.45
  -7.70,  -0.53,   0.11, time =   50.55
  -7.70,  -0.46,   0.13, time =   50.65
  -7.71,  -0.39,   0.16, time =   50.75
  -7.71,  -0.30,   0.21, time =   50.85
  -7.73,  -0.21,   0.29, time =   50.95
  -7.74,  -0.11,   0.44, time =   51.05
  -7.76,   0.01,   0.61, time =   51.15
  -7.78,   0.13,   0.75, time =   51.25
  -7.81,   0.27,   0.87, time =   51.35
  -7.83,   0.40,   0.97, time =   51.45
  -7.86,   0.52,   1.06, time =   51.55
  -7.89,   0.64,   1.13, time =   51.65
  -7.92,   0.75,   1.20, time =   51.75
  -7.95,   0.86,   1.27, time =   51.85
  -8.00,   0.96,   1.33, time =   51.95
  -8.04,   1.05,   1.38, time =   52.05
  -8.09,   1.14,   1.41, time =   52.15
  -8.15,   1.23,   1.44, time =   52.25
  -8.21,   1.32,   1.45, time =   52.35
  -8.28,   1.40,   1.45, time =   52.45
  -8.34,   1.48,   1.44, time =   52.55
  -8.41,   1.56,   1.43, time =   52.65
  -8.48,   1.64,   1.42, time =   52.75
  -8.56,   1.72,   1.42, time =   52.85
  -8.63,   1.80,   1.41, time =   52.95
  -8.71,   1.88,   1.40, time =   53.05
  -8.78,   1.96,   1.40, time =   53.15
  -8.86,   2.04,   1.40, time =   53.25
  -8.94,   2.12,   1.39, time =   53.35
reward:  200.11
