target position:   -9.00,   2.25
swimmer initial position:  -12.00,  -2.25,   0.00
  -8.31,   0.33,   0.04, time =   56.40
  -8.30,   0.40,   0.10, time =   56.50
  -8.28,   0.47,   0.16, time =   56.60
  -8.26,   0.53,   0.20, time =   56.70
  -8.23,   0.58,   0.26, time =   56.80
  -8.20,   0.63,   0.39, time =   56.90
  -8.18,   0.66,   0.53, time =   57.00
  -8.15,   0.69,   0.53, time =   57.10
  -8.14,   0.71,   0.46, time =   57.20
  -8.12,   0.71,   0.42, time =   57.30
  -8.11,   0.71,   0.40, time =   57.40
  -8.10,   0.69,   0.35, time =   57.50
  -8.09,   0.67,   0.26, time =   57.60
  -8.09,   0.63,   0.14, time =   57.70
  -8.09,   0.58,   0.02, time =   57.80
  -8.09,   0.52,  -0.09, time =   57.90
  -8.10,   0.45,  -0.15, time =   58.00
  -8.11,   0.37,  -0.18, time =   58.10
  -8.13,   0.29,  -0.20, time =   58.20
  -8.14,   0.20,  -0.21, time =   58.30
  -8.15,   0.10,  -0.22, time =   58.40
  -8.16,   0.01,  -0.23, time =   58.50
  -8.16,  -0.09,  -0.21, time =   58.60
  -8.16,  -0.18,  -0.18, time =   58.70
  -8.14,  -0.26,  -0.15, time =   58.80
  -8.11,  -0.32,  -0.15, time =   58.90
  -8.08,  -0.36,  -0.06, time =   59.00
  -8.04,  -0.37,   0.09, time =   59.10
  -8.00,  -0.33,   0.26, time =   59.20
  -7.97,  -0.26,   0.45, time =   59.30
